,,,Trial 1,Trial 2,Trial 3,Trial_Avg
Happy,Decision Tree,Split 0.2,1.0,1.0,1.0,1.0
Happy,Decision Tree,Split 0.5,1.0,1.0,1.0,1.0
Happy,Decision Tree,Split 0.8,1.0,1.0,1.0,1.0
Happy,Decision Tree,Split_Avg,1.0,1.0,1.0,1.0
Happy,KNN,Split 0.2,0.8620689655172413,0.8620689655172413,0.6896551724137931,0.8045977011494253
Happy,KNN,Split 0.5,0.7638888888888888,0.6944444444444444,0.875,0.7777777777777777
Happy,KNN,Split 0.8,0.5565217391304348,0.5391304347826087,0.5304347826086957,0.5420289855072463
Happy,KNN,Split_Avg,0.7274931978455217,0.6985479482480982,0.6983633183408297,0.7081348214781498
Happy,Log Regression,Split 0.2,1.0,1.0,1.0,1.0
Happy,Log Regression,Split 0.5,1.0,1.0,1.0,1.0
Happy,Log Regression,Split 0.8,1.0,1.0,1.0,1.0
Happy,Log Regression,Split_Avg,1.0,1.0,1.0,1.0
Happy,MLP,Split 0.2,1.0,1.0,1.0,1.0
Happy,MLP,Split 0.5,0.9861111111111112,0.9861111111111112,1.0,0.9907407407407408
Happy,MLP,Split 0.8,1.0,1.0,0.991304347826087,0.9971014492753624
Happy,MLP,Split_Avg,0.9953703703703703,0.9953703703703703,0.9971014492753624,0.9959473966720345
Happy,Perceptron,Split 0.2,1.0,1.0,1.0,1.0
Happy,Perceptron,Split 0.5,1.0,0.9444444444444444,0.9861111111111112,0.9768518518518517
Happy,Perceptron,Split 0.8,0.8608695652173913,0.8521739130434782,0.9478260869565217,0.8869565217391303
Happy,Perceptron,Split_Avg,0.9536231884057971,0.9322061191626408,0.9779790660225443,0.954602791196994
Happy,Random Forest,Split 0.2,1.0,1.0,1.0,1.0
Happy,Random Forest,Split 0.5,1.0,1.0,1.0,1.0
Happy,Random Forest,Split 0.8,0.8434782608695652,0.8173913043478261,0.9739130434782609,0.8782608695652175
Happy,Random Forest,Split_Avg,0.9478260869565217,0.9391304347826087,0.991304347826087,0.9594202898550726
Happy,SVM,Split 0.2,1.0,1.0,1.0,1.0
Happy,SVM,Split 0.5,1.0,1.0,1.0,1.0
Happy,SVM,Split 0.8,0.8,0.8956521739130435,0.782608695652174,0.8260869565217391
Happy,SVM,Split_Avg,0.9333333333333332,0.9652173913043479,0.927536231884058,0.9420289855072465
Heart,Decision Tree,Split 0.2,0.7704918032786885,0.8360655737704918,0.8524590163934426,0.819672131147541
Heart,Decision Tree,Split 0.5,0.6513157894736842,0.756578947368421,0.756578947368421,0.7214912280701755
Heart,Decision Tree,Split 0.8,0.7119341563786008,0.7037037037037037,0.7860082304526749,0.7338820301783264
Heart,Decision Tree,Split_Avg,0.7112472497103246,0.7654494082808722,0.7983487314048462,0.7583484631320143
Heart,KNN,Split 0.2,0.7704918032786885,0.819672131147541,0.7868852459016393,0.7923497267759562
Heart,KNN,Split 0.5,0.8618421052631579,0.7763157894736842,0.7763157894736842,0.8048245614035087
Heart,KNN,Split 0.8,0.8065843621399177,0.7530864197530864,0.823045267489712,0.794238683127572
Heart,KNN,Split_Avg,0.8129727568939212,0.7830247801247706,0.795415434288345,0.7971376571023456
Heart,Log Regression,Split 0.2,0.8688524590163934,0.819672131147541,0.8360655737704918,0.8415300546448087
Heart,Log Regression,Split 0.5,0.8223684210526315,0.8157894736842105,0.8355263157894737,0.8245614035087719
Heart,Log Regression,Split 0.8,0.7942386831275721,0.7983539094650206,0.8148148148148148,0.8024691358024691
Heart,Log Regression,Split_Avg,0.8284865210655323,0.8112718380989241,0.8288022347915934,0.8228535313186832
Heart,MLP,Split 0.2,0.8852459016393442,0.8032786885245902,0.819672131147541,0.8360655737704917
Heart,MLP,Split 0.5,0.8157894736842105,0.8355263157894737,0.8486842105263158,0.8333333333333334
Heart,MLP,Split 0.8,0.7983539094650206,0.8148148148148148,0.7530864197530864,0.7887517146776406
Heart,MLP,Split_Avg,0.8331297615961918,0.8178732730429595,0.8071475871423145,0.8193835405938219
Heart,Perceptron,Split 0.2,0.7213114754098361,0.819672131147541,0.8524590163934426,0.7978142076502732
Heart,Perceptron,Split 0.5,0.7894736842105263,0.7302631578947368,0.75,0.7565789473684211
Heart,Perceptron,Split 0.8,0.7448559670781894,0.823045267489712,0.7736625514403292,0.7805212620027436
Heart,Perceptron,Split_Avg,0.7518803755661839,0.7909935188439965,0.7920405226112573,0.7783048056738128
Heart,Random Forest,Split 0.2,0.819672131147541,0.8524590163934426,0.9016393442622951,0.8579234972677595
Heart,Random Forest,Split 0.5,0.8355263157894737,0.8092105263157895,0.8026315789473685,0.8157894736842106
Heart,Random Forest,Split 0.8,0.8024691358024691,0.8148148148148148,0.7818930041152263,0.7997256515775035
Heart,Random Forest,Split_Avg,0.819222527579828,0.8254947858413489,0.8287213091082967,0.8244795408431579
Heart,SVM,Split 0.2,0.7540983606557377,0.8032786885245902,0.7049180327868853,0.7540983606557377
Heart,SVM,Split 0.5,0.7763157894736842,0.8092105263157895,0.7894736842105263,0.7916666666666666
Heart,SVM,Split 0.8,0.7818930041152263,0.8024691358024691,0.7530864197530864,0.7791495198902606
Heart,SVM,Split_Avg,0.7707690514148826,0.8049861168809497,0.7491593789168327,0.7749715157375549
Mush,Decision Tree,Split 0.2,1.0,1.0,1.0,1.0
Mush,Decision Tree,Split 0.5,1.0,1.0,1.0,1.0
Mush,Decision Tree,Split 0.8,1.0,1.0,1.0,1.0
Mush,Decision Tree,Split_Avg,1.0,1.0,1.0,1.0
Mush,KNN,Split 0.2,1.0,1.0,1.0,1.0
Mush,KNN,Split 0.5,1.0,1.0,1.0,1.0
Mush,KNN,Split 0.8,0.9993846153846154,0.9993846153846154,1.0,0.9995897435897435
Mush,KNN,Split_Avg,0.9997948717948718,0.9997948717948718,1.0,0.9998632478632478
Mush,Log Regression,Split 0.2,1.0,1.0,1.0,1.0
Mush,Log Regression,Split 0.5,1.0,1.0,1.0,1.0
Mush,Log Regression,Split 0.8,1.0,1.0,1.0,1.0
Mush,Log Regression,Split_Avg,1.0,1.0,1.0,1.0
Mush,MLP,Split 0.2,1.0,1.0,1.0,1.0
